country code,zip,place name,admin name1,admin code1,admin name2,admin code2,admin name3,admin code3,lat,lon,accuracy
CH,8484,Neschwil,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Weisslingen,180,47.428,8.7946,6
CH,8484,Theilingen,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Weisslingen,180,47.417,8.7671,6
CH,8489,Wildberg,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Wildberg,182,47.4246,8.819,6
CH,8492,Wila,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Wila,181,47.4116,8.8573,6
CH,8493,Saland,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Bauma,171,47.3891,8.8626,6
CH,8494,Bauma,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Bauma,171,47.3668,8.8924,6
CH,8499,Sternenberg,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Sternenberg,179,47.3899,8.9111,6
CH,8044,Gockhausen,Kanton Z’_rich,ZH,Bezirk Uster,109,D’_bendorf,191,47.3786,8.6044,6
CH,8117,F’_llanden,Kanton Z’_rich,ZH,Bezirk Uster,109,F’_llanden,193,47.3704,8.6434,6
CH,8118,Pfaffhausen,Kanton Z’_rich,ZH,Bezirk Uster,109,F’_llanden,193,47.3663,8.6257,6
CH,8121,Benglen,Kanton Z’_rich,ZH,Bezirk Uster,109,F’_llanden,193,47.3612,8.6373,6
CH,8122,Binz,Kanton Z’_rich,ZH,Bezirk Uster,109,Maur,195,47.3567,8.6271,6
CH,8123,Ebmatingen,Kanton Z’_rich,ZH,Bezirk Uster,109,Maur,195,47.351,8.641,6
CH,8124,Maur,Kanton Z’_rich,ZH,Bezirk Uster,109,Maur,195,47.3372,8.6705,6
CH,8127,Forch,Kanton Z’_rich,ZH,Bezirk Uster,109,Maur,195,47.3222,8.6492,6
CH,8132,Hinteregg,Kanton Z’_rich,ZH,Bezirk Uster,109,Egg,192,47.3111,8.6847,6
CH,8132,Egg b. Z’_rich,Kanton Z’_rich,ZH,Bezirk Uster,109,Egg,192,47.2919,8.6908,6
CH,8133,Esslingen,Kanton Z’_rich,ZH,Bezirk Uster,109,Egg,192,47.2888,8.7171,6
CH,8306,Br’_ttisellen,Kanton Z’_rich,ZH,Bezirk Uster,109,Wangen-Br’_ttisellen,200,47.422,8.6356,6
CH,8600,D’_bendorf,Kanton Z’_rich,ZH,Bezirk Uster,109,D’_bendorf,191,47.3928,8.6206,6
